Tọa độ các hình tròn đã phát hiện:
x, y, radius, color
201, 134, 28, white
27, 324, 28, white
73, 446, 31, white
334, 354, 28, white
453, 175, 28, white
135, 109, 28, white
256, 247, 30, white
309, 134, 28, white
418, 168, 30, white
235, 131, 28, white
23, 297, 22, white
34, 355, 22, white
11, 343, 32, white
73, 394, 22, white
213, 532, 24, white
255, 71, 29, white
61, 498, 26, white
74, 180, 22, white
205, 367, 25, white
132, 20, 20, white
470, 23, 24, white
22, 115, 17, white
339, 533, 23, white
95, 106, 20, white
286, 195, 24, white
100, 74, 15, white
373, 62, 23, white
111, 538, 18, white
431, 117, 22, white
401, 358, 26, white
415, 499, 15, white
489, 334, 25, white
313, 180, 22, white
492, 217, 20, white
6, 523, 17, white
495, 557, 20, white
495, 400, 15, white
368, 327, 32, white
431, 294, 32, white
59, 97, 32, white
124, 465, 32, white
192, 78, 32, white
305, 490, 32, white
232, 255, 32, white
372, 238, 32, white
375, 94, 32, white
415, 251, 32, white
71, 359, 32, white
164, 462, 32, white
184, 117, 32, white
220, 133, 32, white
385, 504, 32, white
107, 59, 32, white
114, 333, 32, white
361, 483, 32, white
435, 54, 32, white
60, 155, 32, white
139, 337, 32, white
212, 57, 32, white
281, 241, 32, white
312, 526, 32, white
365, 299, 30, white
35, 176, 32, white
115, 33, 32, white
215, 197, 32, white
233, 158, 31, white
78, 114, 32, white
100, 209, 32, white
177, 201, 32, white
345, 112, 32, white
408, 484, 32, white
464, 302, 32, white
220, 456, 32, white
274, 401, 32, white
411, 134, 32, white
87, 337, 32, white
97, 364, 32, white
60, 246, 30, white
45, 361, 32, white
61, 384, 32, white
258, 303, 32, white
442, 495, 32, white
463, 134, 32, white
36, 136, 32, white
107, 526, 32, white
210, 287, 32, white
402, 158, 32, white
405, 295, 30, white
51, 447, 32, white
469, 176, 32, white
304, 302, 32, white
33, 411, 32, white
463, 485, 32, white
32, 385, 31, white
220, 312, 32, white
340, 374, 31, white
440, 317, 30, white
440, 432, 32, white
317, 69, 28, white
403, 194, 31, white
437, 186, 31, white
440, 28, 28, white
311, 370, 31, white
92, 87, 28, white
167, 289, 29, white
283, 111, 30, white
413, 377, 28, white
368, 70, 28, white
102, 422, 28, white
474, 279, 24, white
475, 357, 26, white
312, 439, 27, white
233, 537, 21, white
50, 21, 20, white
198, 422, 19, white
181, 480, 16, white
5, 204, 30, white
479, 154, 15, white
347, 21, 20, white
472, 204, 19, white
483, 463, 15, white
192, 383, 14, white
137, 443, 15, white
484, 112, 16, white
2, 37, 30, white
27, 537, 18, white
347, 138, 24, white
481, 541, 16, white
4, 91, 25, white
14, 270, 13, white
20, 16, 14, white
494, 422, 21, white
7, 236, 22, white
439, 241, 13, white
102, 10, 19, white
281, 16, 12, white
277, 446, 17, white
11, 178, 15, white
499, 265, 21, white
5, 418, 19, white
53, 68, 32, white
248, 206, 32, white
52, 260, 32, white
424, 59, 32, white
197, 246, 32, white
270, 358, 32, white
48, 183, 32, white
391, 305, 32, white
222, 181, 32, white
365, 392, 32, white
112, 494, 32, white
173, 187, 32, white
76, 304, 32, white
126, 119, 32, white
303, 61, 32, white
362, 418, 32, white
391, 255, 32, white
200, 491, 32, white
164, 334, 32, white
200, 525, 32, white
44, 126, 32, white
235, 482, 32, white
151, 305, 32, white
200, 434, 32, white
417, 314, 30, white
264, 492, 32, white
225, 375, 32, white
223, 206, 30, white
397, 80, 26, white
26, 62, 25, white
24, 182, 22, white
494, 513, 32, white
490, 67, 30, white
288, 535, 22, white
390, 17, 22, white
491, 38, 32, white
500, 458, 32, white
214, 555, 32, white
172, 214, 15, white
233, 4, 32, white
496, 488, 32, white
2, 136, 30, white
499, 236, 32, white
153, 558, 28, white
276, 558, 27, white
497, 297, 25, white
501, 91, 25, white
260, 14, 12, white
410, 559, 21, white
161, 9, 14, white
5, 498, 20, white
3, 462, 20, white
6, 166, 12, white
1, 277, 14, white
54, 555, 14, white
90, 558, 12, white
